2022-05-25 13:52:40.485 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - El saldo de mi cuenta aumento a $500.0
2022-05-25 14:03:53.010 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - El saldo de mi cuenta aumento a $500.0
2022-05-25 14:03:53.014 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - 
2022-05-25 14:03:53.015 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - De mi cuenta retire dinero y quede con este nuevo saldo400.0
2022-05-25 14:04:20.302 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - El saldo de mi cuenta aumento a $500.0
2022-05-25 14:04:20.308 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - 
2022-05-25 14:04:20.309 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - De mi cuenta retire dinero y quede con este nuevo saldo $400.0
2022-05-25 14:23:46.806 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - El saldo de mi cuenta aumento a $500.0
2022-05-25 14:23:46.810 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - 
2022-05-25 14:23:46.811 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - De mi cuenta retire dinero y quede con este nuevo saldo $400.0
2022-05-25 14:23:46.811 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - 
2022-05-25 14:23:46.812 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - Saldo en la cuenta de Carlos $1000.0
2022-05-25 14:23:46.812 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - 
2022-05-25 14:23:46.813 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - Saldo en mi cuenta $800.0
2022-05-25 14:31:39.029 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - primer saldo en mi cuenta $500.0
2022-05-25 14:31:39.036 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - 
2022-05-25 14:31:39.037 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - De mi cuenta retire dinero y quede con este nuevo saldo $400.0
2022-05-25 14:31:39.037 [main] INFO  entidadbancaria.ManejoDeCuentaDepositoYRetiro - 
